,counties,index
289,"Sacramento County, CA",1090
290,"San Mateo County, CA",1701
291,"Sacramento County, CA",1088
292,"Los Angeles County, CA",1083
293,NA,1063
294,"Los Angeles County, CA",1061
295,"Santa Clara County, CA",1056
296,"Los Angeles County, CA",1702
297,"Los Angeles County, CA",1043
298,"Stanislaus County, CA",1720
299,"Los Angeles County, CA",1031
300,NA,1027
301,"Alameda County, CA",1026
302,"San Bernardino County, CA",1019
303,"Los Angeles County, CA",1017
304,"Yuba County, CA",1125
305,"San Bernardino County, CA",938
306,"Los Angeles County, CA",1033
307,"Santa Clara County, CA",204
308,"Sonoma County, CA",76
309,"Los Angeles County, CA",279
310,"Los Angeles County, CA",266
311,"Contra Costa County, CA",32
312,"San Joaquin County, CA",73
313,"San Francisco County, CA",209
314,"Tulare County, CA",15
315,"Los Angeles County, CA",302
316,"Ventura County, CA",37
317,"San Mateo County, CA",160
318,"Alameda County, CA",66
319,"Los Angeles County, CA",197
320,"Los Angeles County, CA",238
321,"Los Angeles County, CA",196
322,"Los Angeles County, CA",70
323,"Tehama County, CA",292
324,"Monterey County, CA",253
325,"San Diego County, CA",111
326,"Los Angeles County, CA",69
327,"Los Angeles County, CA",102
328,"Santa Barbara County, CA",174
329,"Santa Clara County, CA",288
330,"Denver County, CO",743
331,"Arapahoe County, CO",918
332,"Douglas County, CO",1966
333,"Arapahoe County, CO",83
334,"El Paso County, CO",1437
335,"Pueblo County, CO",365
336,"Arapahoe County, CO",534
337,"El Paso County, CO",1786
338,"Arapahoe County, CO",545
339,"Adams County, CO",828
340,"Larimer County, CO",594
341,"Douglas County, CO",126
342,"El Paso County, CO",115
343,"Denver County, CO",890
344,"Jefferson County, CO",1769
345,"El Paso County, CO",1736
346,"Denver County, CO",1747
347,"Pueblo County, CO",1951
348,"Denver County, CO",289
349,NA,674
350,"Arapahoe County, CO",1358
351,"Arapahoe County, CO",466
352,"Arapahoe County, CO",137
353,"Denver County, CO",213
354,"Weld County, CO",1622
355,"Larimer County, CO",337
356,"Mesa County, CO",338
357,"Arapahoe County, CO",144
358,"Arapahoe County, CO",1869
359,"New Haven County, CT",1713
360,"Fairfield County, CT",498
361,"Middlesex County, CT",1278
362,"Hartford County, CT",1065
363,"Hartford County, CT",112
364,"New Haven County, CT",1595
365,"Fairfield County, CT",555
366,"Hartford County, CT",1070
367,"Fairfield County, CT",1387
368,"Hartford County, CT",396
369,"New Haven County, CT",463
